County,Taxable Year,Total Contributions
Alameda,2006,332270
Alameda,2007,326227
Alameda,2008,306750
Alameda,2009,397741
Alameda,2010,350098
Alameda,2011,390399
Alameda,2012,427014
Alameda,2013,398849
Alameda,2014,446972
Amador,2006,579
Amador,2007,119
Amador,2008,580
Amador,2009,64
Amador,2010,187
Amador,2012,264
Butte,2006,15370
Butte,2007,15711
Butte,2008,18059
Butte,2009,18214
Butte,2010,12455
Butte,2011,14158
Butte,2012,14590
Butte,2013,14721
Butte,2014,14440
Calaveras,2006,1476
Calaveras,2007,1451
Calaveras,2008,820
Calaveras,2009,1360
Calaveras,2010,819
Calaveras,2011,1035
Calaveras,2012,444
Calaveras,2013,59
Contra Costa,2006,192602
Contra Costa,2007,183226
Contra Costa,2008,177122
Contra Costa,2009,224362
Contra Costa,2010,187769
Contra Costa,2011,198949
Contra Costa,2012,205426
Contra Costa,2013,200854
Contra Costa,2014,208520
Del Norte,2006,1212
Del Norte,2007,1679
Del Norte,2008,1169
Del Norte,2009,1233
Del Norte,2010,188
Del Norte,2011,2952
Del Norte,2012,1387
Del Norte,2013,1522
Del Norte,2014,731
El Dorado,2006,18722
El Dorado,2007,17515
El Dorado,2008,11910
El Dorado,2009,18599
El Dorado,2010,13926
El Dorado,2011,14960
El Dorado,2012,14503
El Dorado,2013,13879
El Dorado,2014,14279
Fresno,2006,35030
Fresno,2007,34898
Fresno,2008,30582
Fresno,2009,37278
Fresno,2010,28244
Fresno,2011,28439
Fresno,2012,32646
Fresno,2013,24746
Fresno,2014,36966
Glenn,2006,240
Glenn,2007,440
Glenn,2008,69
Glenn,2009,191
Glenn,2011,25
Glenn,2013,85
Humboldt,2006,11031
Humboldt,2007,12322
Humboldt,2008,9123
Humboldt,2009,12612
Humboldt,2010,12558
Humboldt,2011,10828
Humboldt,2012,12952
Humboldt,2013,12788
Humboldt,2014,10979
Imperial,2006,1635
Imperial,2007,1733
Imperial,2008,1313
Imperial,2009,1787
Imperial,2010,1626
Imperial,2011,1082
Imperial,2012,1798
Imperial,2013,1296
Imperial,2014,605
Inyo,2006,685
Inyo,2007,1088
Inyo,2008,1013
Inyo,2009,1028
Inyo,2010,803
Inyo,2011,599
Inyo,2012,1521
Inyo,2013,877
Inyo,2014,299
Kern,2006,23344
Kern,2007,23987
Kern,2008,22830
Kern,2009,24932
Kern,2010,17579
Kern,2011,18570
Kern,2012,21712
Kern,2013,20677
Kern,2014,37184
Kings,2006,2715
Kings,2007,2868
Kings,2008,3797
Kings,2009,3577
Kings,2010,3273
Kings,2011,4663
Kings,2012,2263
Kings,2013,2061
Kings,2014,3323
Lake,2006,226
Lake,2007,832
Lake,2008,727
Lake,2009,722
Lake,2010,745
Lake,2011,486
Lake,2012,99
Lake,2013,556
Lake,2014,71
Lassen,2006,555
Lassen,2007,710
Lassen,2008,1105
Lassen,2009,1314
Lassen,2010,243
Lassen,2011,899
Lassen,2012,934
Lassen,2013,1979
Lassen,2014,682
Los Angeles,2006,699734
Los Angeles,2007,672295
Los Angeles,2008,665314
Los Angeles,2009,820584
Los Angeles,2010,761790
Los Angeles,2011,782113
Los Angeles,2012,883616
Los Angeles,2013,758446
Los Angeles,2014,789656
Madera,2006,5691
Madera,2007,2529
Madera,2008,2670
Madera,2009,2991
Madera,2010,2327
Madera,2011,1526
Madera,2012,2202
Madera,2013,421
Madera,2014,1113
Marin,2006,61594
Marin,2007,59709
Marin,2008,57611
Marin,2009,68770
Marin,2010,65223
Marin,2011,60289
Marin,2012,68100
Marin,2013,66506
Marin,2014,67836
Mariposa,2006,1205
Mariposa,2007,578
Mariposa,2008,874
Mariposa,2009,1574
Mariposa,2010,375
Mariposa,2011,1048
Mariposa,2012,385
Mariposa,2013,208
Mariposa,2014,1109
Mendocino,2006,4142
Mendocino,2007,2895
Mendocino,2008,3795
Mendocino,2009,7192
Mendocino,2010,4699
Mendocino,2011,4718
Mendocino,2012,2954
Mendocino,2013,3179
Mendocino,2014,4885
Merced,2006,9685
Merced,2007,6320
Merced,2008,5941
Merced,2009,6488
Merced,2010,5032
Merced,2011,7079
Merced,2012,6054
Merced,2013,3670
Merced,2014,5580
Mono,2006,1007
Mono,2007,474
Mono,2008,820
Mono,2009,851
Mono,2010,413
Mono,2011,575
Mono,2012,398
Mono,2013,809
Mono,2014,1168
Monterey,2006,30810
Monterey,2007,34206
Monterey,2008,33116
Monterey,2009,43979
Monterey,2010,37022
Monterey,2011,43860
Monterey,2012,48417
Monterey,2013,41408
Monterey,2014,41293
Napa,2006,11392
Napa,2007,13044
Napa,2008,19156
Napa,2009,21006
