,Year,Area,Income
0,2015,Alameda County,"$61,879 "
1,2014,Alameda County,"$37,285 "
2,2013,Alameda County,"$55,338 "
3,2012,Alameda County,"$54,379 "
4,2011,Alameda County,"$49,617 "
5,2010,Alameda County,"$48,087 "
6,2009,Alameda County,"$48,004 "
7,2008,Alameda County,"$50,206 "
8,2007,Alameda County,"$48,679 "
9,2006,Alameda County,"$46,414 "
10,2005,Alameda County,"$43,074 "
11,2004,Alameda County,"$41,083 "
12,2015,Alpine County,"$69,705 "
13,2014,Alpine County,"$21,415 "
14,2013,Alpine County,"$57,981 "
15,2012,Alpine County,"$56,720 "
16,2011,Alpine County,"$49,274 "
17,2010,Alpine County,"$43,041 "
18,2009,Alpine County,"$42,717 "
19,2008,Alpine County,"$42,645 "
20,2007,Alpine County,"$34,241 "
21,2006,Alpine County,"$33,432 "
22,2005,Alpine County,"$33,482 "
23,2004,Alpine County,"$31,913 "
24,2015,Amador County,"$41,807 "
25,2014,Amador County,"$27,473 "
26,2013,Amador County,"$40,961 "
27,2012,Amador County,"$39,530 "
28,2011,Amador County,"$35,689 "
29,2010,Amador County,"$35,327 "
30,2009,Amador County,"$36,315 "
31,2008,Amador County,"$36,945 "
32,2007,Amador County,"$33,453 "
33,2006,Amador County,"$32,012 "
34,2005,Amador County,"$29,769 "
35,2004,Amador County,"$29,415 "
36,2015,Butte County,"$39,971 "
37,2014,Butte County,"$24,259 "
38,2013,Butte County,"$37,150 "
39,2012,Butte County,"$36,106 "
40,2011,Butte County,"$33,356 "
41,2010,Butte County,"$32,526 "
42,2009,Butte County,"$32,593 "
43,2008,Butte County,"$32,558 "
44,2007,Butte County,"$29,767 "
45,2006,Butte County,"$28,473 "
46,2005,Butte County,"$26,679 "
47,2004,Butte County,"$25,781 "
48,2015,Calaveras County,"$46,289 "
49,2014,Calaveras County,"$29,553 "
50,2013,Calaveras County,"$41,166 "
51,2012,Calaveras County,"$39,551 "
52,2011,Calaveras County,"$35,828 "
53,2010,Calaveras County,"$34,986 "
54,2009,Calaveras County,"$34,142 "
55,2008,Calaveras County,"$34,639 "
56,2007,Calaveras County,"$31,288 "
57,2006,Calaveras County,"$30,326 "
58,2005,Calaveras County,"$28,841 "
59,2004,Calaveras County,"$28,182 "
60,2015,Colusa County,"$43,237 "
61,2014,Colusa County,"$21,897 "
62,2013,Colusa County,"$49,101 "
63,2012,Colusa County,"$47,230 "
64,2011,Colusa County,"$46,741 "
65,2010,Colusa County,"$45,049 "
66,2009,Colusa County,"$40,721 "
67,2008,Colusa County,"$37,756 "
68,2007,Colusa County,"$30,469 "
69,2006,Colusa County,"$26,431 "
70,2005,Colusa County,"$26,344 "
71,2004,Colusa County,"$27,086 "
72,2015,Contra Costa County,"$66,348 "
73,2014,Contra Costa County,"$39,313 "
74,2013,Contra Costa County,"$63,403 "
75,2012,Contra Costa County,"$62,860 "
76,2011,Contra Costa County,"$57,011 "
77,2010,Contra Costa County,"$55,465 "
78,2009,Contra Costa County,"$56,703 "
79,2008,Contra Costa County,"$58,228 "
80,2007,Contra Costa County,"$55,580 "
81,2006,Contra Costa County,"$53,571 "
82,2005,Contra Costa County,"$50,097 "
83,2004,Contra Costa County,"$47,797 "
84,2015,Del Norte County,"$33,129 "
85,2014,Del Norte County,"$19,560 "
86,2013,Del Norte County,"$30,818 "
87,2012,Del Norte County,"$29,878 "
88,2011,Del Norte County,"$27,220 "
89,2010,Del Norte County,"$26,937 "
90,2009,Del Norte County,"$26,081 "
91,2008,Del Norte County,"$26,176 "
92,2007,Del Norte County,"$23,665 "
93,2006,Del Norte County,"$22,702 "
94,2005,Del Norte County,"$21,193 "
95,2004,Del Norte County,"$20,866 "
96,2015,El Dorado County,"$59,145 "
97,2014,El Dorado County,"$35,588 "
98,2013,El Dorado County,"$57,520 "
99,2012,El Dorado County,"$56,823 "
100,2011,El Dorado County,"$49,967 "
101,2010,El Dorado County,"$48,222 "
102,2009,El Dorado County,"$49,590 "
103,2008,El Dorado County,"$50,130 "
104,2007,El Dorado County,"$45,725 "
105,2006,El Dorado County,"$44,591 "
106,2005,El Dorado County,"$42,092 "
107,2004,El Dorado County,"$39,705 "
108,2015,Fresno County,"$38,323 "
109,2014,Fresno County,"$20,408 "
110,2013,Fresno County,"$35,635 "
111,2012,Fresno County,"$34,539 "
112,2011,Fresno County,"$31,542 "
113,2010,Fresno County,"$30,905 "
114,2009,Fresno County,"$30,646 "
115,2008,Fresno County,"$31,111 "
116,2007,Fresno County,"$28,181 "
117,2006,Fresno County,"$27,166 "
118,2005,Fresno County,"$25,950 "
119,2004,Fresno County,"$25,293 "
120,2015,Glenn County,"$39,375 "
121,2014,Glenn County,"$21,313 "
122,2013,Glenn County,"$39,605 "
123,2012,Glenn County,"$38,901 "
124,2011,Glenn County,"$36,796 "
125,2010,Glenn County,"$33,166 "
126,2009,Glenn County,"$32,258 "
127,2008,Glenn County,"$31,286 "
128,2007,Glenn County,"$25,953 "
129,2006,Glenn County,"$23,615 "
130,2005,Glenn County,"$22,758 "
131,2004,Glenn County,"$22,824 "
132,2015,Humboldt County,"$41,525 "
133,2014,Humboldt County,"$23,367 "
134,2013,Humboldt County,"$37,646 "
135,2012,Humboldt County,"$36,544 "
136,2011,Humboldt County,"$33,308 "
137,2010,Humboldt County,"$32,640 "
138,2009,Humboldt County,"$32,869 "
139,2008,Humboldt County,"$33,396 "
140,2007,Humboldt County,"$30,153 "
141,2006,Humboldt County,"$28,939 "
142,2005,Humboldt County,"$27,430 "
143,2004,Humboldt County,"$26,957 "
144,2015,Imperial County,"$33,584 "
145,2014,Imperial County,"$16,143 "
146,2013,Imperial County,"$32,225 "
147,2012,Imperial County,"$31,085 "
148,2011,Imperial County,"$28,351 "
149,2010,Imperial County,"$27,342 "
150,2009,Imperial County,"$28,681 "
151,2008,Imperial County,"$28,641 "
152,2007,Imperial County,"$23,757 "
153,2006,Imperial County,"$22,871 "
154,2005,Imperial County,"$21,974 "
155,2004,Imperial County,"$21,451 "
156,2015,Inyo County,"$52,668 "
157,2014,Inyo County,"$27,850 "
158,2013,Inyo County,"$44,886 "
159,2012,Inyo County,"$44,045 "
160,2011,Inyo County,"$37,905 "
161,2010,Inyo County,"$37,124 "
162,2009,Inyo County,"$37,905 "
163,2008,Inyo County,"$37,946 "
164,2007,Inyo County,"$33,684 "
165,2006,Inyo County,"$32,093 "
166,2005,Inyo County,"$30,421 "
167,2004,Inyo County,"$28,957 "
168,2015,Kern County,"$37,355 "
169,2014,Kern County,"$20,644 "
170,2013,Kern County,"$35,847 "
171,2012,Kern County,"$35,139 "
172,2011,Kern County,"$31,400 "
173,2010,Kern County,"$29,609 "
174,2009,Kern County,"$29,630 "
175,2008,Kern County,"$30,081 "
176,2007,Kern County,"$27,090 "
177,2006,Kern County,"$25,872 "
178,2005,Kern County,"$24,906 "
179,2004,Kern County,"$24,186 "
180,2015,Kings County,"$33,126 "
181,2014,Kings County,"$18,707 "
182,2013,Kings County,"$32,635 "
183,2012,Kings County,"$31,926 "
184,2011,Kings County,"$29,407 "
185,2010,Kings County,"$26,575 "
186,2009,Kings County,"$26,426 "
187,2008,Kings County,"$27,293 "
188,2007,Kings County,"$23,418 "
189,2006,Kings County,"$22,536 "
190,2005,Kings County,"$21,359 "
191,2004,Kings County,"$20,837 "
192,2015,Lake County,"$37,807 "
193,2014,Lake County,"$21,407 "
194,2013,Lake County,"$37,460 "
195,2012,Lake County,"$35,863 "
196,2011,Lake County,"$33,375 "
197,2010,Lake County,"$32,543 "
198,2009,Lake County,"$31,874 "
199,2008,Lake County,"$32,115 "
200,2007,Lake County,"$30,077 "
201,2006,Lake County,"$28,796 "
202,2005,Lake County,"$27,012 "
203,2004,Lake County,"$26,807 "
204,2015,Lassen County,"$34,630 "
205,2014,Lassen County,"$19,274 "
206,2013,Lassen County,"$33,995 "
207,2012,Lassen County,"$32,552 "
208,2011,Lassen County,"$28,855 "
209,2010,Lassen County,"$27,603 "
210,2009,Lassen County,"$27,320 "
211,2008,Lassen County,"$27,138 "
212,2007,Lassen County,"$23,563 "
213,2006,Lassen County,"$22,833 "
214,2005,Lassen County,"$21,445 "
215,2004,Lassen County,"$20,753 "
216,2015,Los Angeles County,"$53,521 "
217,2014,Los Angeles County,"$28,337 "
218,2013,Los Angeles County,"$46,530 "
219,2012,Los Angeles County,"$45,800 "
220,2011,Los Angeles County,"$42,564 "
221,2010,Los Angeles County,"$41,791 "
222,2009,Los Angeles County,"$40,867 "
223,2008,Los Angeles County,"$42,195 "
224,2007,Los Angeles County,"$39,794 "
225,2006,Los Angeles County,"$37,991 "
226,2005,Los Angeles County,"$35,147 "
227,2004,Los Angeles County,"$33,167 "
228,2015,Madera County,"$35,165 "
229,2014,Madera County,"$17,970 "
230,2013,Madera County,"$32,287 "
231,2012,Madera County,"$31,334 "
232,2011,Madera County,"$28,631 "
233,2010,Madera County,"$25,761 "
234,2009,Madera County,"$26,790 "
235,2008,Madera County,"$26,880 "
236,2007,Madera County,"$24,359 "
237,2006,Madera County,"$22,892 "
238,2005,Madera County,"$22,340 "
239,2004,Madera County,"$21,954 "
240,2015,Marin County,"$35,165 "
241,2014,Marin County,"$60,236 "
242,2013,Marin County,"$97,124 "
243,2012,Marin County,"$96,428 "
244,2011,Marin County,"$85,761 "
245,2010,Marin County,"$82,936 "
246,2009,Marin County,"$89,139 "
247,2008,Marin County,"$93,263 "
248,2007,Marin County,"$91,483 "
249,2006,Marin County,"$86,719 "
250,2005,Marin County,"$79,688 "
251,2004,Marin County,"$74,230 "
252,2015,Mariposa County,"$109,076 "
253,2014,Mariposa County,"$28,316 "
254,2013,Mariposa County,"$38,731 "
255,2012,Mariposa County,"$37,799 "
256,2011,Mariposa County,"$34,103 "
257,2010,Mariposa County,"$33,459 "
258,2009,Mariposa County,"$33,506 "
259,2008,Mariposa County,"$33,168 "
260,2007,Mariposa County,"$29,462 "
261,2006,Mariposa County,"$28,509 "
262,2005,Mariposa County,"$26,476 "
263,2004,Mariposa County,"$25,663 "
264,2015,Mendocino County,"$46,069 "
265,2014,Mendocino County,"$24,059 "
266,2013,Mendocino County,"$40,727 "
267,2012,Mendocino County,"$39,221 "
268,2011,Mendocino County,"$36,211 "
269,2010,Mendocino County,"$35,476 "
270,2009,Mendocino County,"$35,119 "
271,2008,Mendocino County,"$35,903 "
272,2007,Mendocino County,"$32,614 "
273,2006,Mendocino County,"$31,123 "
274,2005,Mendocino County,"$28,816 "
275,2004,Mendocino County,"$28,249 "
276,2015,Merced County,"$43,845 "
277,2014,Merced County,"$18,204 "
278,2013,Merced County,"$31,935 "
279,2012,Merced County,"$30,726 "
280,2011,Merced County,"$28,497 "
281,2010,Merced County,"$27,329 "
282,2009,Merced County,"$27,517 "
283,2008,Merced County,"$28,003 "
284,2007,Merced County,"$25,012 "
285,2006,Merced County,"$23,267 "
286,2005,Merced County,"$22,724 "
287,2004,Merced County,"$22,955 "
288,2015,Modoc County,"$36,185 "
289,2014,Modoc County,"$21,001 "
290,2013,Modoc County,"$40,293 "
291,2012,Modoc County,"$38,856 "
292,2011,Modoc County,"$36,148 "
293,2010,Modoc County,"$33,877 "
294,2009,Modoc County,"$34,391 "
295,2008,Modoc County,"$33,322 "
296,2007,Modoc County,"$27,842 "
297,2006,Modoc County,"$26,331 "
298,2005,Modoc County,"$25,707 "
299,2004,Modoc County,"$25,004 "
300,2015,Mono County,"$40,926 "
301,2014,Mono County,"$29,437 "
302,2013,Mono County,"$45,410 "
303,2012,Mono County,"$43,154 "
304,2011,Mono County,"$41,370 "
305,2010,Mono County,"$39,247 "
306,2009,Mono County,"$43,890 "
307,2008,Mono County,"$44,834 "
308,2007,Mono County,"$39,795 "
309,2006,Mono County,"$37,685 "
310,2005,Mono County,"$38,881 "
311,2004,Mono County,"$34,809 "
312,2015,Monterey County,"$46,706 "
313,2014,Monterey County,"$24,994 "
314,2013,Monterey County,"$44,851 "
315,2012,Monterey County,"$43,411 "
