County,Year,UnE Rate
Alameda,2009,10.25833333
Alameda,2010,10.9
Alameda,2011,10.04545455
Alameda,2012,8.633333333
Alameda,2013,7.216666667
Alameda,2014,5.825
Alameda,2015,4.741666667
Alameda,2016,4.318181818
Alpine,2009,14.725
Alpine,2010,13.04
Alpine,2011,13.45454545
Alpine,2012,13
Alpine,2013,9.533333333
Alpine,2014,8.225
Alpine,2015,8.025
Alpine,2016,6.472727273
Amador,2009,11.425
Amador,2010,14.1
Amador,2011,13.52727273
Amador,2012,11.76666667
Amador,2013,10.31666667
Amador,2014,8.3
Amador,2015,6.625
Amador,2016,5.936363636
Butte,2009,12.28333333
Butte,2010,13.95
Butte,2011,13.6
Butte,2012,11.73333333
Butte,2013,10.23333333
Butte,2014,8.633333333
Butte,2015,7.2
Butte,2016,6.654545455
Calaveras,2009,13.6
Calaveras,2010,14.49
Calaveras,2011,13.91818182
Calaveras,2012,11.93333333
Calaveras,2013,9.9
Calaveras,2014,7.991666667
Calaveras,2015,6.433333333
Calaveras,2016,5.8
Colusa,2009,17.68333333
Colusa,2010,21.36
Colusa,2011,20.8
Colusa,2012,17.4
Colusa,2013,18.83333333
Colusa,2014,17.475
Colusa,2015,15.48333333
Colusa,2016,15.52727273
Contra Costa,2009,9.966666667
Contra Costa,2010,10.95
Contra Costa,2011,10.24545455
Contra Costa,2012,8.833333333
Contra Costa,2013,7.5
Contra Costa,2014,6.166666667
Contra Costa,2015,5
Contra Costa,2016,4.481818182
Del Norte,2009,11.78333333
Del Norte,2010,13.18
Del Norte,2011,13.26363636
Del Norte,2012,13.2
Del Norte,2013,11.66666667
Del Norte,2014,10.05
Del Norte,2015,8.608333333
Del Norte,2016,7.572727273
El Dorado,2009,10.85833333
El Dorado,2010,12.25
El Dorado,2011,11.62727273
El Dorado,2012,10.06666667
El Dorado,2013,8.483333333
El Dorado,2014,6.958333333
El Dorado,2015,5.666666667
El Dorado,2016,5.109090909
Fresno,2009,14.69166667
Fresno,2010,16.83
Fresno,2011,16.38181818
Fresno,2012,14.53333333
Fresno,2013,13.25
Fresno,2014,11.56666667
Fresno,2015,10.18333333
Fresno,2016,9.5
Glenn,2009,14.16666667
Glenn,2010,15.36
Glenn,2011,15.38181818
Glenn,2012,13.2
Glenn,2013,11.76666667
Glenn,2014,10.63333333
Glenn,2015,8.75
Glenn,2016,8.227272727
Humboldt,2009,10.69166667
Humboldt,2010,10.59
Humboldt,2011,10.52727273
Humboldt,2012,9.233333333
Humboldt,2013,8.066666667
Humboldt,2014,6.658333333
Humboldt,2015,5.641666667
Humboldt,2016,5
Imperial,2009,27.325
Imperial,2010,28.61
Imperial,2011,29.00909091
Imperial,2012,27.96666667
Imperial,2013,24.91666667
Imperial,2014,23.98333333
Imperial,2015,24.01666667
Imperial,2016,22.7
Inyo,2009,8.966666667
Inyo,2010,9.77
Inyo,2011,9.645454545
Inyo,2012,8.733333333
Inyo,2013,7.9
Inyo,2014,6.808333333
Inyo,2015,5.825
Inyo,2016,5.263636364
Kern,2009,14.075
Kern,2010,15.74
Kern,2011,14.67272727
Kern,2012,12.63333333
Kern,2013,11.68333333
Kern,2014,10.41666667
Kern,2015,10.20833333
Kern,2016,10.2
Kings,2009,14.25833333
Kings,2010,16.28
Kings,2011,15.71818182
Kings,2012,14.43333333
Kings,2013,13.36666667
Kings,2014,11.9
Kings,2015,10.5
Kings,2016,9.918181818
Lake,2009,15.01666667
Lake,2010,15.13
Lake,2011,14.40909091
Lake,2012,12.16666667
Lake,2013,10.91666667
Lake,2014,8.925
Lake,2015,7.658333333
Lake,2016,6.763636364
Lassen,2009,12.35
Lassen,2010,14.12
Lassen,2011,13.31818182
Lassen,2012,11.46666667
Lassen,2013,10.61666667
Lassen,2014,9.116666667
Lassen,2015,7.266666667
Lassen,2016,6.809090909
Los Angeles,2009,11.6
Los Angeles,2010,12.5
Los Angeles,2011,12.17272727
Los Angeles,2012,10.73333333
Los Angeles,2013,9.683333333
Los Angeles,2014,8.241666667
Los Angeles,2015,6.65
Los Angeles,2016,5.272727273
Madera,2009,13.38333333
Madera,2010,16.64
Madera,2011,16.08181818
Madera,2012,13.86666667
Madera,2013,12.51666667
Madera,2014,11.19166667
Madera,2015,10.46666667
Madera,2016,9.218181818
