,County,2016IN,2016OUT,2016NET,2015IN,2015OUT,2015NET,2014IN,2014OUT,2014NET,2013IN,2013OUT,2013NET,2012IN,2012OUT,2012NET,2011IN,2011OUT,2011NET,2010IN,2010OUT,2010NET,2009IN,2009OUT,2009NET,NAME,2016MED_INC,2016RENT,2015MED_INC,2015RENT,2014MED_INC,2014RENT,2013MED_INC,2013RENT,2012MED_INC,2012RENT,2011MED_INC,2011RENT,2010MED_INC,2010RENT,2009MED_INC,2009RENT
0,Alameda County,113013,93326.0,-167.0,108017.0,89267.0,960.0,103183.0,87176.0,-481.0,97540.0,84124.0,-1539.0,94837.0,82045.0,-1464.0,91626.0,81142.0,-4627.0,96455.0,87448.0,-6756.0,97434.0,86874.0,-4715.0,Alameda County,79831,1432,75619,1367,73775,1325,72112,1289,71516,1265,70821,1228,69384,1188,68863,1166
1,Alpine County,160,110.0,42.0,183.0,253.0,-82.0,165.0,267.0,-102.0,128.0,213.0,-85.0,159.0,245.0,-86.0,52.0,364.0,-312.0,60.0,166.0,-106.0,69.0,146.0,-77.0,Alpine County,62375,1109,52917,,61343,775,58636,1018,59931,755,59018,796,63478,913,54605,820
2,Amador County,3724,2868.0,806.0,3493.0,2700.0,724.0,2896.0,2203.0,649.0,2609.0,2627.0,-55.0,2733.0,2665.0,18.0,2189.0,2351.0,-202.0,2612.0,2464.0,108.0,3052.0,2571.0,445.0,Amador County,57032,1061,54171,1047,52964,1029,53684,1006,53462,1039,56180,1011,54758,1059,57347,1075
3,Butte County,14982,12840.0,1433.0,13463.0,12349.0,339.0,13296.0,12073.0,469.0,12502.0,11280.0,375.0,12008.0,10929.0,282.0,12867.0,11260.0,634.0,13958.0,10956.0,2109.0,15418.0,11097.0,3375.0,Butte County,44366,936,43444,905,43165,899,43752,890,43339,885,42971,878,43170,861,42002,843
4,Calaveras County,2393,2583.0,-243.0,2148.0,2452.0,-353.0,2023.0,2087.0,-141.0,1871.0,1975.0,-182.0,2124.0,1567.0,510.0,1848.0,1468.0,341.0,1922.0,2000.0,-131.0,2034.0,2115.0,-160.0,Calaveras County,53502,1120,53233,1038,54936,1072,55295,1061,54686,1043,55256,1031,54971,948,57676,920
5,Colusa County,698,1445.0,-807.0,635.0,1266.0,-717.0,576.0,1227.0,-839.0,635.0,1258.0,-783.0,658.0,971.0,-551.0,647.0,814.0,-374.0,1119.0,888.0,-144.0,1376.0,1265.0,-426.0,Colusa County,54946,896,52168,869,50503,864,52158,923,52165,904,49558,885,48016,830,47150,762
6,Contra Costa County,66721,49837.0,8139.0,63410.0,46755.0,7910.0,61158.0,45507.0,7366.0,55911.0,43657.0,5311.0,56245.0,45756.0,3133.0,54595.0,45786.0,1742.0,53893.0,48763.0,-2585.0,53860.0,50122.0,-3516.0,Contra Costa County,82881,1506,80185,1426,79799,1395,78756,1365,78187,1340,79135,1309,78385,1270,77838,1239
7,Del Norte County,2538,2431.0,80.0,2806.0,2631.0,132.0,2863.0,2210.0,613.0,3091.0,1960.0,1072.0,2590.0,1871.0,676.0,2645.0,2025.0,596.0,2697.0,1731.0,902.0,2244.0,1695.0,493.0,Del Norte County,42363,818,40847,,39302,843,37909,914,39626,865,37588,869,36118,845,38408,770
8,El Dorado County,11187,11786.0,-1084.0,9543.0,10904.0,-1985.0,8899.0,10054.0,-1796.0,8803.0,9518.0,-1176.0,8494.0,9133.0,-1164.0,9023.0,8766.0,-263.0,9352.0,8512.0,356.0,10342.0,9000.0,692.0,El Dorado County,72586,1105,69584,1054,68507,1073,69297,1090,70117,1109,68815,1098,70000,1074,70765,1062
9,Fresno County,35098,31067.0,-438.0,35814.0,31075.0,598.0,32931.0,30093.0,-1435.0,30652.0,27916.0,-931.0,30400.0,27381.0,-1210.0,30280.0,27662.0,-1856.0,29662.0,28057.0,-2975.0,31770.0,28814.0,-1793.0,Fresno County,45963,901,45233,886,45201,884,45563,875,45741,864,46903,850,46430,819,46230,801
10,Glenn County,1249,1765.0,-589.0,1192.0,1546.0,-439.0,1256.0,1348.0,-136.0,1389.0,942.0,403.0,1639.0,913.0,681.0,1645.0,1187.0,425.0,1272.0,1340.0,-103.0,1293.0,1526.0,-307.0,Glenn County,41699,750,39349,725,40106,716,43023,720,42641,740,43239,742,43074,728,40973,692
11,Humboldt County,10071,7063.0,2746.0,9620.0,6924.0,2472.0,8809.0,7700.0,901.0,7769.0,7124.0,298.0,7091.0,6274.0,434.0,6586.0,5906.0,199.0,6833.0,6310.0,115.0,7173.0,5738.0,980.0,Humboldt County,42685,899,42197,892,42153,899,41426,889,40830,869,40376,859,40089,827,39124,795
12,Imperial County,7074,8184.0,-2808.0,7347.0,8224.0,-2432.0,7219.0,7717.0,-1972.0,6605.0,7449.0,-2064.0,7054.0,6941.0,-980.0,7320.0,6745.0,-1082.0,9095.0,7052.0,-125.0,9435.0,6798.0,185.0,Imperial County,42560,778,41079,766,41772,772,41807,744,41255,725,39402,699,38685,682,37595,658
13,Inyo County,1050,1309.0,-292.0,1022.0,1168.0,-178.0,1069.0,1108.0,-80.0,1044.0,875.0,161.0,1257.0,738.0,507.0,1374.0,729.0,636.0,1257.0,809.0,443.0,1187.0,829.0,358.0,Inyo County,47278,829,45955,844,45625,835,44796,829,45000,889,49571,882,44808,793,44952,787
14,Kern County,43699,37249.0,2485.0,42605.0,35732.0,3317.0,43442.0,33980.0,5722.0,42937.0,33968.0,5185.0,43398.0,32846.0,6916.0,45272.0,31625.0,9516.0,50328.0,32802.0,13324.0,51131.0,33753.0,12518.0,Kern County,49788,905,49026,888,48574,887,48552,885,47727,869,48021,840,47089,810,46216,782
15,Kings County,14527,11255.0,2213.0,14728.0,11088.0,2600.0,13493.0,10467.0,2034.0,12626.0,9962.0,1552.0,12181.0,9284.0,1921.0,12494.0,8904.0,2426.0,13159.0,8436.0,3540.0,14522.0,8580.0,4606.0,Kings County,47241,889,46481,881,47341,875,48133,871,48761,874,48838,864,48684,815,46595,787
16,Lake County,5113,3996.0,992.0,4872.0,3547.0,1243.0,4330.0,2736.0,1510.0,3798.0,2721.0,1004.0,3099.0,2570.0,476.0,2655.0,2454.0,151.0,2744.0,2484.0,260.0,3305.0,2945.0,345.0,Lake County,36132,882,35578,891,35997,921,36548,900,38147,864,39525,891,39491,845,41182,827
17,Lassen County,5751,4011.0,1620.0,6136.0,3875.0,2164.0,6478.0,3917.0,2471.0,6189.0,3665.0,2440.0,6554.0,3942.0,2527.0,6066.0,3856.0,2158.0,6043.0,4270.0,1658.0,5648.0,4122.0,1396.0,Lassen County,51457,919,51555,,53351,901,53107,867,51921,873,52484,855,50317,895,48653,855
18,Los Angeles County,316151,332702.0,-91163.0,314126.0,326051.0,-83918.0,305053.0,326953.0,-90935.0,300410.0,327756.0,-93516.0,299133.0,322736.0,-90779.0,296819.0,339255.0,-111154.0,297014.0,370028.0,-142859.0,302667.0,380649.0,-152195.0,Los Angeles County,57952,1264,56196,1231,55870,1221,55909,1204,56241,1187,56266,1161,55476,1117,54828,1076
19,Madera County,7048,9405.0,-2776.0,8197.0,8320.0,-578.0,8035.0,8582.0,-1069.0,7664.0,8912.0,-1759.0,8799.0,8725.0,-423.0,9843.0,7730.0,1196.0,10344.0,9360.0,-53.0,10967.0,8326.0,1692.0,Madera County,45742,963,45073,926,45490,937,45625,914,47937,888,47724,861,46039,864,46083,814
