,County,Origin,2016IN,2016OUT,2016NET,2015IN,2015OUT,2015NET,2014IN,2014OUT,2014NET,2013IN,2013OUT,2013NET,2012IN,2012OUT,2012NET,2011IN,2011OUT,2011NET,2010IN,2010OUT,2010NET,2009IN,2009OUT,2009NET
0,"Alameda County, California","Aleutians West Census Area, Alaska",10,0,10,9,0,9,8,0,8,,,,,,,,,,0,2,-2,0,2,-2
1,"Alameda County, California","Anchorage Municipality, Alaska",59,69,-10,33,55,-22,36,39,-3,45,43,2,15,29,-14,0,26,-26,117,23,94,138,40,98
2,"Alameda County, California","Denali Borough, Alaska",34,0,34,31,0,31,34,0,34,,,,,,,,,,,,,,,
3,"Alameda County, California","Fairbanks North Star Borough, Alaska",70,31,39,59,32,27,,,,0,8,-8,0,7,-7,0,22,-22,0,22,-22,0,27,-27
4,"Alameda County, California","Ketchikan Gateway Borough, Alaska",0,19,-19,0,16,-16,0,6,-6,0,6,-6,0,8,-8,7,0,7,7,0,7,7,0,7
5,"Alameda County, California","Kodiak Island Borough, Alaska",29,13,16,31,10,21,30,3,27,35,4,31,0,2,-2,0,2,-2,0,4,-4,,,
6,"Alameda County, California","Matanuska-Susitna Borough, Alaska",54,0,54,45,0,45,41,0,41,,,,,,,0,8,-8,0,9,-9,0,22,-22
7,"Alameda County, California","Valdez-Cordova Census Area, Alaska",21,0,21,22,0,22,20,0,20,19,0,19,26,0,26,,,,,,,,,
8,"Alameda County, California","Apache County, Arizona",27,3,24,22,4,18,0,5,-5,0,5,-5,0,12,-12,0,6,-6,,,,,,
9,"Alameda County, California","Cochise County, Arizona",9,2,7,10,2,8,9,3,6,0,5,-5,0,7,-7,0,3,-3,28,0,28,17,33,-16
10,"Alameda County, California","Coconino County, Arizona",0,32,-32,0,29,-29,0,25,-25,0,16,-16,0,26,-26,0,26,-26,9,20,-11,12,21,-9
11,"Alameda County, California","Gila County, Arizona",0,1,-1,0,1,-1,0,1,-1,0,1,-1,0,1,-1,,,,,,,,,
12,"Alameda County, California","Greenlee County, Arizona",0,5,-5,0,4,-4,0,5,-5,0,8,-8,,,,,,,,,,,,
13,"Alameda County, California","Maricopa County, Arizona",986,973,13,871,707,164,1083,658,425,1259,583,676,1039,467,572,849,546,303,1323,732,591,1293,837,456
14,"Alameda County, California","Mohave County, Arizona",0,44,-44,0,51,-51,0,55,-55,0,46,-46,0,46,-46,,,,66,0,66,69,0,69
15,"Alameda County, California","Navajo County, Arizona",0,45,-45,0,20,-20,0,19,-19,0,19,-19,0,23,-23,,,,,,,,,
16,"Alameda County, California","Pima County, Arizona",163,325,-162,292,214,78,322,174,148,294,167,127,307,196,111,296,238,58,106,341,-235,10,424,-414
17,"Alameda County, California","Pinal County, Arizona",60,30,30,32,24,8,20,17,3,37,20,17,52,4,48,57,7,50,90,61,29,135,95,40
18,"Alameda County, California","Santa Cruz County, Arizona",7,0,7,3,0,3,23,0,23,20,0,20,20,2,18,20,2,18,19,0,19,,,
19,"Alameda County, California","Yavapai County, Arizona",0,51,-51,0,52,-52,0,24,-24,0,33,-33,15,4,11,13,14,-1,56,32,24,58,29,29
20,"Alameda County, California","Yuma County, Arizona",17,10,7,20,9,11,20,9,11,19,17,2,23,8,15,0,9,-9,0,10,-10,0,22,-22
21,"Alameda County, California","Benton County, Arkansas",29,9,20,31,9,22,29,9,20,20,13,7,,,,,,,0,35,-35,0,39,-39
22,"Alameda County, California","Crawford County, Arkansas",38,0,38,40,0,40,39,0,39,34,0,34,,,,,,,,,,,,
23,"Alameda County, California","Drew County, Arkansas",0,18,-18,0,16,-16,0,13,-13,0,16,-16,,,,,,,,,,,,
24,"Alameda County, California","Fulton County, Arkansas",0,40,-40,0,27,-27,0,26,-26,0,28,-28,,,,,,,,,,,,
25,"Alameda County, California","Pulaski County, Arkansas",21,6,15,22,6,16,,,,,,,24,80,-56,17,73,-56,16,81,-65,18,72,-54
26,"Alameda County, California","Amador County, California",23,45,-22,22,9,13,21,51,-30,0,23,-23,0,51,-51,0,192,-192,0,271,-271,0,321,-321
27,"Alameda County, California","Butte County, California",229,789,-560,221,710,-489,221,742,-521,213,549,-336,280,513,-233,265,461,-196,238,424,-186,290,316,-26
28,"Alameda County, California","Calaveras County, California",0,261,-261,0,316,-316,0,189,-189,0,203,-203,0,202,-202,0,134,-134,79,91,-12,61,51,10
29,"Alameda County, California","Colusa County, California",0,19,-19,0,16,-16,0,10,-10,0,13,-13,0,10,-10,,,,,,,7,0,7
30,"Alameda County, California","Contra Costa County, California",10069,15682,-5613,9522,15545,-6023,9166,15621,-6455,8722,15286,-6564,9927,15083,-5156,9197,14786,-5589,10709,15071,-4362,10465,14392,-3927
31,"Alameda County, California","Del Norte County, California",6,10,-4,4,35,-31,15,39,-24,7,43,-36,5,30,-25,4,47,-43,5,14,-9,0,9,-9
32,"Alameda County, California","El Dorado County, California",119,243,-124,159,223,-64,182,201,-19,208,237,-29,177,90,87,218,146,72,204,238,-34,217,331,-114
33,"Alameda County, California","Fresno County, California",886,1121,-235,1025,1162,-137,979,1160,-181,1134,969,165,1162,667,495,943,732,211,750,612,138,793,818,-25
34,"Alameda County, California","Glenn County, California",8,7,1,7,10,-3,17,6,11,17,4,13,152,94,58,145,143,2,186,137,49,228,147,81
35,"Alameda County, California","Humboldt County, California",73,146,-73,70,156,-86,56,123,-67,81,101,-20,95,121,-26,92,171,-79,143,161,-18,87,250,-163
36,"Alameda County, California","Imperial County, California",70,8,62,72,29,43,14,38,-24,14,36,-22,13,39,-26,35,37,-2,42,7,35,43,0,43
37,"Alameda County, California","Inyo County, California",15,10,5,16,4,12,9,6,3,0,8,-8,0,20,-20,0,45,-45,0,37,-37,0,27,-27
