,County,2016IN,2016OUT,2016NET,2015IN,2015OUT,2015NET,2014IN,2014OUT,2014NET,2013IN,2013OUT,2013NET,2012IN,2012OUT,2012NET,2011IN,2011OUT,2011NET,2010IN,2010OUT,2010NET,2009IN,2009OUT,2009NET,NAME,2016MED_INC,2016RENT,2015MED_INC,2015RENT,2014MED_INC,2014RENT,2013MED_INC,2013RENT,2012MED_INC,2012RENT,2011MED_INC,2011RENT,2010MED_INC,2010RENT,2009MED_INC,2009RENT,Lat,Lon
0,Alameda,113013,93326,-167,108017,89267,960,103183,87176,-481,97540,84124,-1539,94837,82045,-1464,91626,81142,-4627,96455,87448,-6756,97434,86874,-4715,"Alameda County, California",79831,1432,75619,1367,73775,1325,72112,1289,71516,1265,70821,1228,69384,1188,68863,1166,37.716662,–122.096151
1,Alpine,160,110,42,183,253,-82,165,267,-102,128,213,-85,159,245,-86,52,364,-312,60,166,-106,69,146,-77,"Alpine County, California",62375,1109,52917,942,61343,775,58636,1018,59931,755,59018,796,63478,913,54605,820,38.632506,–119.888663
2,Amador,3724,2868,806,3493,2700,724,2896,2203,649,2609,2627,-55,2733,2665,18,2189,2351,-202,2612,2464,108,3052,2571,445,"Amador County, California",57032,1061,54171,1047,52964,1029,53684,1006,53462,1039,56180,1011,54758,1059,57347,1075,38.428879,–120.715248
3,Butte,14982,12840,1433,13463,12349,339,13296,12073,469,12502,11280,375,12008,10929,282,12867,11260,634,13958,10956,2109,15418,11097,3375,"Butte County, California",44366,936,43444,905,43165,899,43752,890,43339,885,42971,878,43170,861,42002,843,39.648354,–121.646310
4,Calaveras,2393,2583,-243,2148,2452,-353,2023,2087,-141,1871,1975,-182,2124,1567,510,1848,1468,341,1922,2000,-131,2034,2115,-160,"Calaveras County, California",53502,1120,53233,1038,54936,1072,55295,1061,54686,1043,55256,1031,54971,948,57676,920,38.167573,–120.557245
5,Colusa,698,1445,-807,635,1266,-717,576,1227,-839,635,1258,-783,658,971,-551,647,814,-374,1119,888,-144,1376,1265,-426,"Colusa County, California",54946,896,52168,869,50503,864,52158,923,52165,904,49558,885,48016,830,47150,762,39.187495,–122.152389
6,Contra,66721,49837,8139,63410,46755,7910,61158,45507,7366,55911,43657,5311,56245,45756,3133,54595,45786,1742,53893,48763,-2585,53860,50122,-3516,"Contra Costa County, California",82881,1506,80185,1426,79799,1395,78756,1365,78187,1340,79135,1309,78385,1270,77838,1239,37.942423,–122.060886
7,Del,2538,2431,80,2806,2631,132,2863,2210,613,3091,1960,1072,2590,1871,676,2645,2025,596,2697,1731,902,2244,1695,493,"Del Norte County, California",42363,818,40847,830,39302,843,37909,914,39626,865,37588,869,36118,845,38408,770,41.735225,–124.113924
8,El,11187,11786,-1084,9543,10904,-1985,8899,10054,-1796,8803,9518,-1176,8494,9133,-1164,9023,8766,-263,9352,8512,356,10342,9000,692,"El Dorado County, California",72586,1105,69584,1054,68507,1073,69297,1090,70117,1109,68815,1098,70000,1074,70765,1062,38.768651,–120.571902
9,Fresno,35098,31067,-438,35814,31075,598,32931,30093,-1435,30652,27916,-931,30400,27381,-1210,30280,27662,-1856,29662,28057,-2975,31770,28814,-1793,"Fresno County, California",45963,901,45233,886,45201,884,45563,875,45741,864,46903,850,46430,819,46230,801,36.638374,–119.903470
10,Glenn,1249,1765,-589,1192,1546,-439,1256,1348,-136,1389,942,403,1639,913,681,1645,1187,425,1272,1340,-103,1293,1526,-307,"Glenn County, California",41699,750,39349,725,40106,716,43023,720,42641,740,43239,742,43074,728,40973,692,39.630023,–122.291407
11,Humboldt,10071,7063,2746,9620,6924,2472,8809,7700,901,7769,7124,298,7091,6274,434,6586,5906,199,6833,6310,115,7173,5738,980,"Humboldt County, California",42685,899,42197,892,42153,899,41426,889,40830,869,40376,859,40089,827,39124,795,40.747403,–123.988265
12,Imperial,7074,8184,-2808,7347,8224,-2432,7219,7717,-1972,6605,7449,-2064,7054,6941,-980,7320,6745,-1082,9095,7052,-125,9435,6798,185,"Imperial County, California",42560,778,41079,766,41772,772,41807,744,41255,725,39402,699,38685,682,37595,658,32.963098,–115.487593
13,Inyo,1050,1309,-292,1022,1168,-178,1069,1108,-80,1044,875,161,1257,738,507,1374,729,636,1257,809,443,1187,829,358,"Inyo County, California",47278,829,45955,844,45625,835,44796,829,45000,889,49571,882,44808,793,44952,787,36.709037,–117.693329
14,Kern,43699,37249,2485,42605,35732,3317,43442,33980,5722,42937,33968,5185,43398,32846,6916,45272,31625,9516,50328,32802,13324,51131,33753,12518,"Kern County, California",49788,905,49026,888,48574,887,48552,885,47727,869,48021,840,47089,810,46216,782,35.296023,–118.683344
15,Kings,14527,11255,2213,14728,11088,2600,13493,10467,2034,12626,9962,1552,12181,9284,1921,12494,8904,2426,13159,8436,3540,14522,8580,4606,"Kings County, California",47241,889,46481,881,47341,875,48133,871,48761,874,48838,864,48684,815,46595,787,36.155141,–119.811272
16,Lake,5113,3996,992,4872,3547,1243,4330,2736,1510,3798,2721,1004,3099,2570,476,2655,2454,151,2744,2484,260,3305,2945,345,"Lake County, California",36132,882,35578,891,35997,921,36548,900,38147,864,39525,891,39491,845,41182,827,39.023264,–122.751791
17,Lassen,5751,4011,1620,6136,3875,2164,6478,3917,2471,6189,3665,2440,6554,3942,2527,6066,3856,2158,6043,4270,1658,5648,4122,1396,"Lassen County, California",51457,919,51555,910,53351,901,53107,867,51921,873,52484,855,50317,895,48653,855,40.612365,–120.720234
18,Los,316151,332702,-91163,314126,326051,-83918,305053,326953,-90935,300410,327756,-93516,299133,322736,-90779,296819,339255,-111154,297014,370028,-142859,302667,380649,-152195,"Los Angeles County, California",57952,1264,56196,1231,55870,1221,55909,1204,56241,1187,56266,1161,55476,1117,54828,1076,34.08851,–118.234216
19,Madera,7048,9405,-2776,8197,8320,-578,8035,8582,-1069,7664,8912,-1759,8799,8725,-423,9843,7730,1196,10344,9360,-53,10967,8326,1692,"Madera County, California",45742,963,45073,926,45490,937,45625,914,47937,888,47724,861,46039,864,46083,814,37.035073,–120.032438
20,Marin,20459,17654,466,19461,16312,1016,18948,15304,1578,18378,13961,2934,16742,13437,1672,17100,13333,2159,17370,13578,2159,18697,13610,3420,"Marin County, California",100310,1764,93257,1678,91529,1659,90839,1628,90962,1598,89605,1571,89268,1523,87728,1487,37.985723,–122.575951
21,Mariposa,1267,1248,-11,1100,1154,-86,1033,1124,-133,1135,1012,97,973,1222,-275,786,1189,-443,858,1008,-225,791,738,13,"Mariposa County, California",49265,820,47681,829,50560,838,49820,866,52584,797,49174,748,49098,682,47808,693,37.595471,–120.003539
22,Mendocino,5404,4313,874,5238,3710,1342,4824,3442,1157,4374,3249,859,3289,3208,-114,2975,3405,-636,3212,4032,-1342,3061,4389,-1828,"Mendocino County, California",43510,975,42980,960,43290,972,43469,953,43721,954,44527,940,43759,888,43404,862,39.363102,–123.430217
23,Merced,14292,11949,1344,14398,11694,1522,12761,11428,706,11809,11425,-173,11528,10782,145,10525,9875,-56,11080,10252,216,10703,10979,-864,"Merced County, California",44397,882,42462,873,43066,870,42591,860,43565,832,43945,806,43844,798,43848,783,37.245783,–120.674118
24,Modoc,687,639,48,598,749,-151,580,546,34,441,382,59,457,378,79,604,339,265,723,196,527,656,193,463,"Modoc County, California",41194,681,37860,653,38560,671,36212,633,37482,614,35402,613,34588,560,34007,554,41.52736,–120.790625
25,Mono,725,767,-205,829,629,46,755,486,238,1105,613,486,1257,819,425,947,726,207,852,662,183,1246,741,505,"Mono County, California",58937,1107,56944,1068,61814,1061,61757,1118,61868,1146,60469,1096,55087,1029,51970,1050,37.853807,–118.961375
26,Monterey,25395,25002,-2514,24714,25005,-3159,24622,22961,-1385,23888,23161,-2409,23494,21051,-769,22700,22096,-3199,24294,22737,-2154,24433,24029,-3687,"Monterey County, California",60889,1275,58783,1236,58582,1228,59168,1209,60143,1183,59737,1160,59271,1123,59693,1102,36.450732,–121.528953
27,Napa,7804,7256,-98,7314,6762,-122,6978,6425,-42,6933,6100,254,6484,5846,-18,6651,6347,-478,7411,6159,229,7431,6508,-399,"Napa County, California",74609,1442,71379,1405,70925,1376,70443,1350,69571,1297,68641,1279,67389,1211,68416,1178,38.353762,–122.332133
